city_id,country,state,city,role,salary_average,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,col_17,col_18,col_19,col_20,col_21,col_22,col_23,col_24,col_25,col_26,col_27,col_28,col_29,col_30,col_31,col_32,col_33,col_34,col_35,col_36,col_37,col_38,col_39,col_40,col_41,col_42,col_43,col_44,col_45,col_46,col_47,col_48,col_49,col_50,col_51,col_52
2807,Germany,Mecklenburg-Vorpommern,Rostock,accountant,57229.6963191429,10.0,9.0,4.0,1.0,2.0,2.0,,,1.0,1.0,6.0,,,1203.0,1070.0,,566.0,,,,,,10.0,,96.0,,102.0,,,1.0,58.0,,12.0,,,3.0,,,,,38.0,23.0,,57.0,8.0,,3.0,677.0,,39.0,6.0,
2807,Germany,Mecklenburg-Vorpommern,Rostock,automation-analyst,60962.22019722859,10.0,9.0,4.0,1.0,2.0,2.0,,,1.0,1.0,6.0,,,1203.0,1070.0,,566.0,,,,,,10.0,,96.0,,102.0,,,1.0,58.0,,12.0,,,3.0,,,,,38.0,23.0,,57.0,8.0,,3.0,677.0,,39.0,6.0,
2807,Germany,Mecklenburg-Vorpommern,Rostock,budget-finance-analyst,71776.60941145055,10.0,9.0,4.0,1.0,2.0,2.0,,,1.0,1.0,6.0,,,1203.0,1070.0,,566.0,,,,,,10.0,,96.0,,102.0,,,1.0,58.0,,12.0,,,3.0,,,,,38.0,23.0,,57.0,8.0,,3.0,677.0,,39.0,6.0,
2807,Germany,Mecklenburg-Vorpommern,Rostock,marketing-specialist,46775.12474324657,10.0,9.0,4.0,1.0,2.0,2.0,,,1.0,1.0,6.0,,,1203.0,1070.0,,566.0,,,,,,10.0,,96.0,,102.0,,,1.0,58.0,,12.0,,,3.0,,,,,38.0,23.0,,57.0,8.0,,3.0,677.0,,39.0,6.0,
2807,Germany,Mecklenburg-Vorpommern,Rostock,payroll-specialist,39506.34115343463,10.0,9.0,4.0,1.0,2.0,2.0,,,1.0,1.0,6.0,,,1203.0,1070.0,,566.0,,,,,,10.0,,96.0,,102.0,,,1.0,58.0,,12.0,,,3.0,,,,,38.0,23.0,,57.0,8.0,,3.0,677.0,,39.0,6.0,
2807,Germany,Mecklenburg-Vorpommern,Rostock,procurement-specialist,51790.37513718141,10.0,9.0,4.0,1.0,2.0,2.0,,,1.0,1.0,6.0,,,1203.0,1070.0,,566.0,,,,,,10.0,,96.0,,102.0,,,1.0,58.0,,12.0,,,3.0,,,,,38.0,23.0,,57.0,8.0,,3.0,677.0,,39.0,6.0,
2807,Germany,Mecklenburg-Vorpommern,Rostock,specialist-human-resources,42071.79418513296,10.0,9.0,4.0,1.0,2.0,2.0,,,1.0,1.0,6.0,,,1203.0,1070.0,,566.0,,,,,,10.0,,96.0,,102.0,,,1.0,58.0,,12.0,,,3.0,,,,,38.0,23.0,,57.0,8.0,,3.0,677.0,,39.0,6.0,
2807,Germany,Mecklenburg-Vorpommern,Rostock,supply-chain-specialist,45869.73945200512,10.0,9.0,4.0,1.0,2.0,2.0,,,1.0,1.0,6.0,,,1203.0,1070.0,,566.0,,,,,,10.0,,96.0,,102.0,,,1.0,58.0,,12.0,,,3.0,,,,,38.0,23.0,,57.0,8.0,,3.0,677.0,,39.0,6.0,
2807,Germany,Mecklenburg-Vorpommern,Rostock,treasury-analyst,56082.48553720859,10.0,9.0,4.0,1.0,2.0,2.0,,,1.0,1.0,6.0,,,1203.0,1070.0,,566.0,,,,,,10.0,,96.0,,102.0,,,1.0,58.0,,12.0,,,3.0,,,,,38.0,23.0,,57.0,8.0,,3.0,677.0,,39.0,6.0,
2469,Germany,Rhineland-Palatinate,Mainz,accountant,75389.97290281802,18.0,9.0,4.0,1.0,4.0,2.0,,2.0,2.0,1.0,8.0,,1.0,1490.0,1182.0,217.0,963.0,668.0,116.0,29.0,,,,18.0,96.0,52.0,96.0,126.0,25010.0,1.0,79.0,,,,3.0,,,1.0,1.0,26.0,,29.0,103.0,,8.0,3.0,4.0,,,47.0,9.0,
